ProductName,PricePerUnit
"Maggi Noodles",120
"Harpic Toilet Cleaner",300
"Himalaya Face Wash",200
"Tata Salt",120
"Parle-G Biscuits",300
"Aashirvaad Atta",120
"Nestle Milk",120
"Godrej Hair Dye",120
"Himalaya Face Wash",120
"Amul Butter",200
"Aashirvaad Atta",120
"Red Label Tea",300
"Himalaya Face Wash",150
"Dove Soap",120
"Maggi Noodles",180
"Maggi Noodles",180
"Dove Soap",180
"Maggi Noodles",150
"Maggi Noodles",150
"Nestle Milk",180
"Fortune Oil",300
Bournvita,180
"Ariel Detergent",180
"Ariel Detergent",120
"Harpic Toilet Cleaner",300
"Harpic Toilet Cleaner",180
"Amul Butter",120
"Godrej Hair Dye",120
"Aashirvaad Atta",150
"Parle-G Biscuits",120
"Dettol Liquid",200
"Amul Butter",120
"Nestle Milk",180
"Dove Soap",200
"Dettol Liquid",300
"Parle-G Biscuits",200
"Tata Salt",120
"Good Day Cookies",300
"Colgate Toothpaste",300
"Ariel Detergent",150
"Nestle Milk",120
"Tata Tea Gold",150
"Fortune Oil",180
"Amul Butter",120
"Dove Soap",120
"Ariel Detergent",200
"Fortune Oil",180
"Tata Tea Gold",150
"Dettol Liquid",200
"Tata Tea Gold",130
"Amul Butter",120
"Himalaya Face Wash",300
"Dettol Liquid",180
"Fortune Oil",120
"Colgate Toothpaste",200
"Ariel Detergent",200
"Parle-G Biscuits",180
"Britannia Rusk",200
"Nestle Milk",150
"Colgate Toothpaste",300
"Fortune Oil",150
Bournvita,200
"Colgate Toothpaste",200
"Good Day Cookies",130
"Amul Butter",200
"Amul Butter",130
"Maggi Noodles",130
"Clinic Plus Shampoo",180
"Red Label Tea",200
"Fortune Oil",130
"Nestle Milk",200
"Himalaya Face Wash",120
"Godrej Hair Dye",150
"Parle-G Biscuits",130
"Tata Tea Gold",130
"Ariel Detergent",120
"Godrej Hair Dye",130
"Red Label Tea",300
"Nestle Milk",180
"Tata Salt",130
"Aashirvaad Atta",180
"Clinic Plus Shampoo",200
"Maggi Noodles",200
"Nestle Milk",150
"Red Label Tea",150
"Tata Tea Gold",150
"Aashirvaad Atta",150
"Dove Soap",200
"Good Day Cookies",130
"Ariel Detergent",200
"Parle-G Biscuits",150
"Fortune Oil",300
"Himalaya Face Wash",130
"Nestle Milk",130
"Tata Salt",120
"Clinic Plus Shampoo",130
"Dove Soap",150
"Harpic Toilet Cleaner",150
"Parle-G Biscuits",150
"Harpic Toilet Cleaner",180
"Himalaya Face Wash",180
"Fortune Oil",300
"Tata Salt",300
"Aashirvaad Atta",120
"Parle-G Biscuits",120
"Parle-G Biscuits",130
"Maggi Noodles",120
"Ariel Detergent",200
"Tata Tea Gold",180
"Parle-G Biscuits",300
"Dettol Liquid",300
"Colgate Toothpaste",150
Bournvita,180
Bournvita,120
"Britannia Rusk",200
"Harpic Toilet Cleaner",180
"Dove Soap",120
"Good Day Cookies",300
"Clinic Plus Shampoo",120
"Good Day Cookies",180
"Colgate Toothpaste",200
"Harpic Toilet Cleaner",120
"Dove Soap",120
"Aashirvaad Atta",200
"Dove Soap",120
"Dettol Liquid",200
"Good Day Cookies",120
"Good Day Cookies",150
"Harpic Toilet Cleaner",180
"Tata Tea Gold",120
"Maggi Noodles",130
"Nestle Milk",120
"Tata Salt",130
"Aashirvaad Atta",180
"Aashirvaad Atta",130
"Britannia Rusk",130
"Good Day Cookies",120
"Colgate Toothpaste",180
"Dove Soap",300
"Parle-G Biscuits",120
"Parle-G Biscuits",150
"Ariel Detergent",130
"Red Label Tea",150
"Nestle Milk",120
"Dettol Liquid",120
"Dettol Liquid",120
"Himalaya Face Wash",200
"Dettol Liquid",150
"Red Label Tea",300
"Fortune Oil",180
Bournvita,150
"Dove Soap",180
"Amul Butter",120
"Amul Butter",120
"Tata Salt",180
"Amul Butter",200
"Maggi Noodles",130
"Dove Soap",130
"Fortune Oil",120
"Tata Salt",300
"Harpic Toilet Cleaner",120
"Amul Butter",200
"Aashirvaad Atta",120
"Amul Butter",300
"Dove Soap",120
"Clinic Plus Shampoo",300
"Dove Soap",200
"Himalaya Face Wash",200
"Parle-G Biscuits",120
"Clinic Plus Shampoo",200
"Maggi Noodles",120
"Britannia Rusk",200
"Parle-G Biscuits",200
"Maggi Noodles",180
"Colgate Toothpaste",120
"Britannia Rusk",200
Bournvita,180
"Aashirvaad Atta",120
"Dove Soap",180
"Parle-G Biscuits",180
"Himalaya Face Wash",130
"Good Day Cookies",120
"Dove Soap",300
"Nestle Milk",150
"Himalaya Face Wash",130
"Tata Tea Gold",180
"Tata Salt",130
"Himalaya Face Wash",150
"Amul Butter",300
"Dove Soap",300
"Tata Salt",120
"Clinic Plus Shampoo",200
"Nestle Milk",130
"Harpic Toilet Cleaner",130
"Red Label Tea",120
"Maggi Noodles",120
"Tata Tea Gold",120
"Red Label Tea",120
"Ariel Detergent",180
"Harpic Toilet Cleaner",300
"Maggi Noodles",300
"Maggi Noodles",200
"Fortune Oil",130
"Red Label Tea",200
"Amul Butter",120
"Colgate Toothpaste",120
"Clinic Plus Shampoo",200
"Himalaya Face Wash",120
"Amul Butter",200
"Amul Butter",200
"Good Day Cookies",130
"Harpic Toilet Cleaner",180
"Himalaya Face Wash",180
"Dettol Liquid",300
"Godrej Hair Dye",200
"Fortune Oil",200
"Amul Butter",180
"Good Day Cookies",120
"Dove Soap",120
"Dettol Liquid",150
"Harpic Toilet Cleaner",130
"Good Day Cookies",120
"Harpic Toilet Cleaner",120
"Colgate Toothpaste",120
"Dove Soap",300
"Himalaya Face Wash",120
"Good Day Cookies",130
"Good Day Cookies",120
"Dove Soap",120
