OrderID,CustomerID,OrderDateTime,TotalAmount
2,71,"2024-11-13 10:52:56",1170
3,2,"2024-10-25 03:06:56",837
6,108,"2024-10-24 16:57:56",1227
7,85,"2024-11-16 16:27:56",1003
8,278,"2024-10-03 10:55:56",661
9,43,"2024-10-27 17:00:56",552
10,198,"2024-11-09 00:54:56",777
11,4,"2024-09-27 21:42:56",1005
12,17,"2024-11-15 03:32:56",1250
13,232,"2024-10-14 22:54:56",1051
14,151,"2024-10-02 23:27:56",939
15,110,"2024-10-12 23:19:56",1292
17,93,"2024-10-01 09:48:56",1290
18,15,"2024-10-08 00:28:56",1193
19,157,"2024-10-10 12:19:56",913
21,4,"2024-10-17 09:19:56",678
22,159,"2024-10-27 15:02:56",1352
23,55,"2024-11-09 13:05:56",736
24,176,"2024-10-30 21:44:56",1484
25,269,"2024-09-28 23:52:56",1360
26,248,"2024-10-27 00:26:56",1377
27,291,"2024-10-19 21:51:56",880
28,267,"2024-11-16 19:42:56",596
30,84,"2024-11-19 15:24:56",787
31,79,"2024-11-23 22:24:56",1359
33,138,"2024-10-26 01:35:56",763
34,4,"2024-11-01 08:05:56",638
35,227,"2024-11-11 10:36:56",1209
36,76,"2024-09-29 08:32:56",1499
37,59,"2024-10-23 15:36:56",1327
39,179,"2024-10-20 02:09:56",549
40,82,"2024-09-27 13:44:56",1250
42,78,"2024-11-22 18:31:56",1209
43,288,"2024-10-07 06:43:56",1331
48,105,"2024-11-18 02:18:56",835
49,195,"2024-11-02 11:58:56",1339
50,120,"2024-11-04 20:23:56",762
53,2,"2024-10-25 05:51:56",712
54,124,"2024-10-10 09:06:56",678
57,116,"2024-10-27 03:53:56",1185
58,239,"2024-11-12 15:09:56",669
59,48,"2024-10-24 03:46:56",750
60,17,"2024-10-08 14:53:56",524
63,143,"2024-10-17 11:58:56",865
64,96,"2024-11-02 04:10:56",872
65,283,"2024-10-20 17:35:56",1164
66,7,"2024-11-01 08:49:56",634
67,53,"2024-10-29 02:28:56",813
68,20,"2024-10-29 22:29:56",1468
69,167,"2024-10-13 21:54:56",1272
70,55,"2024-10-10 15:15:56",1046
73,209,"2024-10-02 06:25:56",510
76,104,"2024-11-02 04:35:56",642
77,151,"2024-10-29 21:08:56",1208
79,135,"2024-11-06 00:05:56",694
80,255,"2024-11-19 22:37:56",1002
81,111,"2024-10-10 03:55:56",1041
83,110,"2024-10-23 12:26:56",724
84,88,"2024-10-15 12:56:56",1350
85,92,"2024-10-14 23:32:56",510
86,150,"2024-11-09 06:25:56",646
87,60,"2024-10-23 02:08:56",874
88,24,"2024-09-28 12:25:56",849
89,205,"2024-09-30 20:33:56",785
92,247,"2024-11-05 11:58:56",1118
93,122,"2024-11-16 04:26:56",852
94,240,"2024-11-22 00:29:56",746
95,89,"2024-11-06 01:41:56",1481
96,91,"2024-10-08 23:20:56",516
97,226,"2024-11-13 22:14:56",1389
98,245,"2024-11-14 20:53:56",1005
99,181,"2024-09-26 23:43:56",1309
102,36,"2024-11-03 17:57:56",1286
103,54,"2024-11-23 09:01:56",1092
104,80,"2024-11-11 20:19:56",1185
105,102,"2024-11-04 14:18:56",1492
106,189,"2024-11-21 07:14:56",936
107,137,"2024-11-01 02:27:56",1364
108,182,"2024-10-20 03:14:56",760
109,163,"2024-10-18 00:48:56",643
111,178,"2024-09-27 03:12:56",1225
112,56,"2024-10-29 08:42:56",632
113,188,"2024-11-05 19:15:56",972
114,60,"2024-10-22 03:21:56",1054
116,182,"2024-11-13 08:38:56",1414
118,103,"2024-10-31 16:41:56",561
119,12,"2024-11-09 14:46:56",1008
120,1,"2024-10-08 00:49:56",1228
121,247,"2024-09-30 19:32:56",1204
122,131,"2024-11-16 06:45:56",745
123,183,"2024-10-15 18:45:56",1396
124,48,"2024-10-06 18:38:56",1460
127,253,"2024-09-30 20:45:56",655
128,55,"2024-11-18 21:55:56",948
129,188,"2024-10-31 20:06:56",1406
132,48,"2024-11-09 14:04:56",892
134,73,"2024-11-16 01:04:56",593
135,128,"2024-11-18 22:36:56",1311
136,275,"2024-11-09 10:29:56",1097
139,109,"2024-10-15 21:18:56",1039
140,84,"2024-10-07 06:51:56",1408
141,52,"2024-09-30 00:31:56",1117
143,232,"2024-11-01 18:12:56",1136
144,109,"2024-11-06 22:34:56",1273
145,52,"2024-10-16 08:02:56",958
146,202,"2024-10-26 01:46:56",916
147,63,"2024-10-26 06:31:56",678
149,68,"2024-10-31 05:15:56",1113
150,204,"2024-10-23 14:28:56",943
153,237,"2024-11-22 21:19:56",1285
154,116,"2024-11-17 05:59:56",568
155,113,"2024-11-07 10:11:56",626
156,197,"2024-10-21 03:02:56",1085
158,87,"2024-11-12 13:44:56",1304
159,94,"2024-09-28 13:07:56",1293
160,39,"2024-10-17 10:37:56",593
161,112,"2024-09-27 02:17:56",1372
162,284,"2024-11-10 01:32:56",1163
163,245,"2024-10-18 16:50:56",1032
164,91,"2024-11-17 14:09:56",588
165,176,"2024-10-16 19:16:56",751
167,231,"2024-10-01 10:39:56",1475
169,29,"2024-11-20 05:54:56",977
170,253,"2024-10-25 23:22:56",509
171,220,"2024-10-28 16:23:56",1462
172,294,"2024-11-02 02:07:56",1042
173,161,"2024-11-12 15:02:56",1082
174,86,"2024-11-11 11:46:56",1439
