OrderId,ProductName
115,"Maggi Noodles"
3872,"Harpic Toilet Cleaner"
3489,"Ariel Detergent"
375,"Aashirvaad Atta"
1164,"Good Day Cookies"
179,"Himalaya Face Wash"
1830,"Good Day Cookies"
3755,Bournvita
2659,"Tata Salt"
2410,"Dettol Liquid"
158,"Parle-G Biscuits"
2789,"Godrej Hair Dye"
1505,"Clinic Plus Shampoo"
1491,"Harpic Toilet Cleaner"
2954,"Tata Salt"
3105,"Good Day Cookies"
2541,"Red Label Tea"
1379,"Tata Tea Gold"
1888,"Dove Soap"
1241,"Red Label Tea"
224,"Maggi Noodles"
3239,"Maggi Noodles"
1905,"Nestle Milk"
430,"Maggi Noodles"
3874,"Nestle Milk"
1879,"Britannia Rusk"
1786,"Fortune Oil"
1225,"Godrej Hair Dye"
2548,"Ariel Detergent"
2748,"Harpic Toilet Cleaner"
2997,"Tata Salt"
892,"Good Day Cookies"
398,"Dove Soap"
439,"Fortune Oil"
3433,"Aashirvaad Atta"
1632,"Fortune Oil"
145,"Parle-G Biscuits"
262,"Parle-G Biscuits"
2440,"Aashirvaad Atta"
2920,"Tata Salt"
2605,"Good Day Cookies"
1638,"Maggi Noodles"
2842,"Tata Tea Gold"
312,"Dettol Liquid"
2258,"Maggi Noodles"
3183,"Harpic Toilet Cleaner"
1759,"Parle-G Biscuits"
3111,"Britannia Rusk"
1727,"Dove Soap"
414,"Harpic Toilet Cleaner"
3071,"Harpic Toilet Cleaner"
732,"Tata Salt"
2172,"Dove Soap"
3755,"Harpic Toilet Cleaner"
2327,"Tata Tea Gold"
1602,Bournvita
73,"Harpic Toilet Cleaner"
653,"Dettol Liquid"
1838,"Parle-G Biscuits"
1108,"Colgate Toothpaste"
3465,"Harpic Toilet Cleaner"
1599,"Colgate Toothpaste"
694,"Dettol Liquid"
2341,"Tata Salt"
3127,"Fortune Oil"
2323,"Colgate Toothpaste"
858,Bournvita
3262,"Ariel Detergent"
1344,"Parle-G Biscuits"
3540,"Britannia Rusk"
1017,"Colgate Toothpaste"
3128,Bournvita
3626,"Dettol Liquid"
3614,"Good Day Cookies"
2702,"Maggi Noodles"
76,"Britannia Rusk"
3043,"Parle-G Biscuits"
642,"Amul Butter"
727,"Fortune Oil"
489,"Fortune Oil"
3387,"Ariel Detergent"
1920,"Godrej Hair Dye"
3904,"Himalaya Face Wash"
3375,"Nestle Milk"
3907,"Red Label Tea"
572,"Good Day Cookies"
1259,"Good Day Cookies"
