OrderID,TotalAmount
1,113
2,1170
3,837
4,357
5,410
6,1227
7,1003
8,661
9,552
10,777
11,1005
12,1250
13,1051
14,939
15,1292
16,188
17,1290
18,1193
19,913
20,276
21,678
22,1352
23,736
24,1484
25,1360
26,1377
27,880
28,596
29,178
30,787
31,1359
32,356
33,763
34,638
35,1209
36,1499
37,1327
38,149
39,549
40,1250
41,219
42,1209
43,1331
44,254
45,287
46,366
47,317
48,835
49,1339
50,762
51,474
52,426
53,712
54,678
55,278
56,155
57,1185
58,669
59,750
60,524
61,451
62,393
63,865
64,872
65,1164
66,634
67,813
68,1468
69,1272
70,1046
71,182
72,176
73,510
74,360
75,258
76,642
77,1208
78,487
79,694
80,1002
81,1041
82,281
83,724
84,1350
85,510
86,646
87,874
88,849
89,785
90,173
91,485
92,1118
93,852
94,746
95,1481
96,516
97,1389
98,1005
99,1309
100,475
101,361
102,1286
103,1092
104,1185
105,1492
106,936
107,1364
108,760
109,643
110,492
111,1225
112,632
113,972
114,1054
115,128
116,1414
117,130
118,561
119,1008
120,1228
121,1204
122,745
123,1396
124,1460
125,355
126,276
127,655
128,948
129,1406
130,347
131,103
132,892
133,216
134,593
135,1311
136,1097
137,479
138,424
139,1039
140,1408
141,1117
142,111
143,1136
144,1273
145,958
146,916
147,678
148,140
149,1113
150,943
151,431
152,180
153,1285
154,568
155,626
156,1085
157,322
158,1304
159,1293
160,593
161,1372
162,1163
163,1032
164,588
165,751
166,471
167,1475
168,459
169,977
170,509
171,1462
172,1042
173,1082
174,1439
175,1051
176,715
177,1176
178,346
179,1102
180,1311
181,580
182,1434
183,694
184,1214
185,1333
186,873
187,795
188,680
189,1413
190,1259
191,202
192,638
193,326
194,587
195,636
196,612
197,987
198,1482
199,537
200,691
201,363
202,648
203,921
204,1233
205,1392
206,199
207,381
208,445
209,1268
210,371
211,166
212,400
213,400
214,1485
215,304
216,153
217,1365
218,1237
219,330
220,331
221,515
222,1016
223,716
224,1216
225,874
226,421
227,474
228,867
229,156
230,1158
231,1402
232,1318
233,1256
234,1002
235,224
236,523
237,1067
238,314
239,1231
240,1150
