OrderID,CustomerID,OrderDateTime,DeliveryDateTime,TotalAmount,DeliveryStatus
1,17,"2024-11-17 22:12:56","2024-11-17 22:27:56",113,Delivered
2,71,"2024-11-13 10:52:56","2024-11-13 11:03:56",1170,Delivered
7,85,"2024-11-16 16:27:56","2024-11-16 16:42:56",1003,Delivered
10,198,"2024-11-09 00:54:56","2024-11-09 01:10:56",777,Delivered
12,17,"2024-11-15 03:32:56","2024-11-15 03:42:56",1250,Delivered
16,201,"2024-11-09 00:17:56","2024-11-09 00:31:56",188,Delivered
20,198,"2024-11-20 16:10:56","2024-11-20 16:19:56",276,Delivered
23,55,"2024-11-09 13:05:56","2024-11-09 13:22:56",736,Delivered
28,267,"2024-11-16 19:42:56","2024-11-16 19:50:56",596,Delivered
30,84,"2024-11-19 15:24:56","2024-11-19 15:38:56",787,Delivered
31,79,"2024-11-23 22:24:56","2024-11-23 22:36:56",1359,Delivered
32,89,"2024-11-18 22:18:56","2024-11-18 22:26:56",356,Delivered
34,4,"2024-11-01 08:05:56","2024-11-01 08:17:56",638,Delivered
35,227,"2024-11-11 10:36:56","2024-11-11 10:50:56",1209,Delivered
41,118,"2024-11-13 22:32:56","2024-11-13 22:48:56",219,Delivered
42,78,"2024-11-22 18:31:56","2024-11-22 18:47:56",1209,Delivered
45,202,"2024-11-12 03:42:56","2024-11-12 03:56:56",287,Delivered
48,105,"2024-11-18 02:18:56","2024-11-18 02:33:56",835,Delivered
49,195,"2024-11-02 11:58:56","2024-11-02 12:13:56",1339,Delivered
50,120,"2024-11-04 20:23:56","2024-11-04 20:38:56",762,Delivered
51,248,"2024-11-11 08:34:56","2024-11-11 08:42:56",474,Delivered
58,239,"2024-11-12 15:09:56","2024-11-12 15:18:56",669,Delivered
64,96,"2024-11-02 04:10:56","2024-11-02 04:21:56",872,Delivered
66,7,"2024-11-01 08:49:56","2024-11-01 09:03:56",634,Delivered
74,261,"2024-11-05 02:12:56","2024-11-05 02:23:56",360,Delivered
75,287,"2024-11-04 03:13:56","2024-11-04 03:27:56",258,Delivered
76,104,"2024-11-02 04:35:56","2024-11-02 04:48:56",642,Delivered
78,110,"2024-11-10 12:10:56","2024-11-10 12:25:56",487,Delivered
79,135,"2024-11-06 00:05:56","2024-11-06 00:19:56",694,Delivered
80,255,"2024-11-19 22:37:56","2024-11-19 22:49:56",1002,Delivered
86,150,"2024-11-09 06:25:56","2024-11-09 06:39:56",646,Delivered
90,101,"2024-11-14 09:56:56","2024-11-14 10:04:56",173,Delivered
92,247,"2024-11-05 11:58:56","2024-11-05 12:15:56",1118,Delivered
93,122,"2024-11-16 04:26:56","2024-11-16 04:38:56",852,Delivered
94,240,"2024-11-22 00:29:56","2024-11-22 00:37:56",746,Delivered
95,89,"2024-11-06 01:41:56","2024-11-06 01:58:56",1481,Delivered
97,226,"2024-11-13 22:14:56","2024-11-13 22:31:56",1389,Delivered
98,245,"2024-11-14 20:53:56","2024-11-14 21:02:56",1005,Delivered
102,36,"2024-11-03 17:57:56","2024-11-03 18:07:56",1286,Delivered
103,54,"2024-11-23 09:01:56","2024-11-23 09:16:56",1092,Delivered
104,80,"2024-11-11 20:19:56","2024-11-11 20:30:56",1185,Delivered
105,102,"2024-11-04 14:18:56","2024-11-04 14:34:56",1492,Delivered
106,189,"2024-11-21 07:14:56","2024-11-21 07:31:56",936,Delivered
107,137,"2024-11-01 02:27:56","2024-11-01 02:35:56",1364,Delivered
110,192,"2024-11-19 06:50:56","2024-11-19 06:58:56",492,Delivered
113,188,"2024-11-05 19:15:56","2024-11-05 19:31:56",972,Delivered
116,182,"2024-11-13 08:38:56","2024-11-13 08:51:56",1414,Delivered
119,12,"2024-11-09 14:46:56","2024-11-09 14:57:56",1008,Delivered
122,131,"2024-11-16 06:45:56","2024-11-16 07:00:56",745,Delivered
126,77,"2024-11-15 07:05:56","2024-11-15 07:22:56",276,Delivered
128,55,"2024-11-18 21:55:56","2024-11-18 22:03:56",948,Delivered
130,100,"2024-11-03 09:59:56","2024-11-03 10:12:56",347,Delivered
132,48,"2024-11-09 14:04:56","2024-11-09 14:15:56",892,Delivered
134,73,"2024-11-16 01:04:56","2024-11-16 01:17:56",593,Delivered
135,128,"2024-11-18 22:36:56","2024-11-18 22:45:56",1311,Delivered
136,275,"2024-11-09 10:29:56","2024-11-09 10:46:56",1097,Delivered
138,183,"2024-11-04 16:21:56","2024-11-04 16:35:56",424,Delivered
143,232,"2024-11-01 18:12:56","2024-11-01 18:22:56",1136,Delivered
144,109,"2024-11-06 22:34:56","2024-11-06 22:42:56",1273,Delivered
148,257,"2024-11-07 07:46:56","2024-11-07 08:03:56",140,Delivered
152,77,"2024-11-08 03:02:56","2024-11-08 03:13:56",180,Delivered
